,loc_str,Long,Lat
87,"Destin, Okaloosa County Florida USA",38.8857266,1.4026345
88,The Farm New South Wales AUSTRALIA,38.8857266,1.4026345
89,Monterey Bay California USA,38.8857266,1.4026345
90,Mauds Point Western Australia AUSTRALIA,38.8857266,1.4026345
91,"Falcon Bay Beach, Mandurah Western Australia AUSTRALIA",38.8857266,1.4026345
92,Eva Rock Queensland AUSTRALIA,38.8857266,1.4026345
93,Fernando de Noronha Marine Park Pernambuco BRAZIL,38.8857266,1.4026345
94,Eastmoor Crescent Beach KwaZulu-Natal SOUTH AFRICA,38.8857266,1.4026345
95,16 miles off Hilton Head South Carolina USA,38.8857266,1.4026345
96,"Vero Beach, Indian River County Florida USA",38.8857266,1.4026345
97,"Boot Reef, Torres Strait Queensland AUSTRALIA",38.8857266,1.4026345
98,Clairview Queensland AUSTRALIA,38.8857266,1.4026345
99,Jensen Beach Florida USA,38.8857266,1.4026345
100,Balian Beach Bali INDONESIA,38.8857266,1.4026345
101,"Blockhouse Beach, Brevard County Florida USA",38.8857266,1.4026345
102,Merimbula New South Wales AUSTRALIA,38.8857266,1.4026345
103,"Avalon State Park Beach, North Hutchinson Island, St Lucie County Florida USA",38.8857266,1.4026345
104,"Bundegi Sanctuary Zone, Ningaloo Western Australia AUSTRALIA",38.8857266,1.4026345
105,"Keurbooms Lagoon, Plettenberg Bay Western Cape Province SOUTH AFRICA",38.8857266,1.4026345
106,Trigg Beach Western Australia AUSTRALIA,38.8857266,1.4026345
107,Booti Booti National Park New South Wales AUSTRALIA,38.8857266,1.4026345
108,Queenscliff Victoria AUSTRALIA,38.8857266,1.4026345
109,"Kamaole Beach Park I, Maui Hawaii USA",38.8857266,1.4026345
110,"Mayport Naval Station Beach, Duval County Florida USA",38.8857266,1.4026345
111,Mayport Naval Station  Duval County Florida USA,38.8857266,1.4026345
112,Broken Head Beach New South Wales AUSTRALIA,38.8857266,1.4026345
113,"Hooipa Beach Park, Maui Hawaii USA",38.8857266,1.4026345
114,"Kings Beach, Caloundra Queensland AUSTRALIA",38.8857266,1.4026345
115,"Charlie Young Beach, Kihei, Maui Hawaii USA",38.8857266,1.4026345
116,"Sharpes Beach, Ballina New South Wales AUSTRALIA",38.8857266,1.4026345
117,"Indian Beach, Ecola State Park, Clatsop County Oregon USA",38.8857266,1.4026345
118,"Lighthouse Beach, Ballina New South Wales AUSTRALIA",38.8857266,1.4026345
119,"Bunkers, Humboldt Bay, Eureka, Humboldt County California USA",38.8857266,1.4026345
120,Thirteenth Beach Victoria AUSTRALIA,38.8857266,1.4026345
121,Bells Beach Victoria AUSTRALIA,38.8857266,1.4026345
122,Bunbury Western Australia AUSTRALIA,38.8857266,1.4026345
123,"Ponte Vedra, St. Johns County Florida USA",38.8857266,1.4026345
124,"Makaha, Oahu Hawaii USA",38.8857266,1.4026345
125,Koumac North Province NEW CALEDONIA,38.8857266,1.4026345
126,"Kingston Plantation, Myrtle Beach, Horry County South Carolina USA",38.8857266,1.4026345
127,Injidup  Western Australia AUSTRALIA,38.8857266,1.4026345
128,"Refugio State Beach, Santa Barbara County California USA",38.8857266,1.4026345
129,Nassau New Providence Island BAHAMAS,38.8857266,1.4026345
130,Maui Hawaii USA,38.8857266,1.4026345
131,Arenales del Sol Alicante Province SPAIN,38.8857266,1.4026345
132,Near Albany Western Australia AUSTRALIA,38.8857266,1.4026345
133,"Florida Keys, Monroe County Florida USA",38.8857266,1.4026345
134,Irino Beach Kochi Prefecture JAPAN,38.8857266,1.4026345
135,Clifton Beach Tasmania AUSTRALIA,38.8857266,1.4026345
136,Green Turtle Cay Abaco Islands BAHAMAS,38.8857266,1.4026345
137,"20 k off The Spit, off the Gold Coast Queensland AUSTRALIA",38.8857266,1.4026345
138,8 miles off Mobile Alabama USA,38.8857266,1.4026345
139,"Surfside, Orange County California USA",38.8857266,1.4026345
140,"North Myrtle Beach, Horry County South Carolina USA",38.8857266,1.4026345
141,"Las Teresitas, Tenerife Canary Islands SPAIN",38.8857266,1.4026345
142,"Capitola, Santa Cruz County California USA",38.8857266,1.4026345
143,"Off Gloucester, Essec County Massachusetts USA",38.8857266,1.4026345
144,"Off Palos Verdes peninsula, Los Angeles County California USA",38.8857266,1.4026345
145,Palm Cove  Queensland AUSTRALIA,-33.3192207,115.6310993
146,Sullivan's Island South Carolina USA,32.7709427,-79.8550196
147,"Atlantic Beach, Emerald Isle, Carteret County North Carolina USA",34.7035868,-77.3035459
148,Ryspunt Western Cape Province SOUTH AFRICA,-34.1913578,24.7114128
149,"Pelican Beach Park, Satellite Beach, Brevard County Florida USA",28.1673007,-80.5899484
150,"Kalapaki Beach, Kauai Hawaii USA",21.9601779,-159.3523706
151,Coral Bay Western Australia AUSTRALIA,-23.1420367,113.7638538
152,"Pirates Beach, Galveston Texas USA",29.2047732,-94.9387669
153,"Flagler Beach, Flagler County Florida USA",29.4658634,-81.1615857
154,Mindarie Western Australia AUSTRALIA,-31.6889597,115.6896937
155,Ain Sokhna Suez EGYPT,29.632561,32.3212623
156,Kingscliff New South Wales AUSTRALIA,-28.2611985,153.5376769
157,"Falcon Beach, Mandurah Western Australia AUSTRALIA",-32.5853767,115.6374025
158,"Corona Del Mar, Newport, Orange County California USA",33.6022548,-117.8832491
159,"Neptune, Duval County Florida USA",30.3157893,-81.4202417
160,"St. Petersburg, Pinellas County Florida USA",27.7786988,-82.7949081
161,"Hugenot Beach , Jacksonville, Duval County Florida USA",30.4110088,-81.4226769
162,"Boca Raton, Palm Beach County Florida USA",26.3728124,-80.1874063
163,"Wailea Beach, Maui Hawaii USA",20.685144,-156.4453363
164,Cormandel North Island NEW ZEALAND,-36.8333324,175.5745785
165,Balian Bali INDONESIA,-8.5031133,114.9633709
166,"Robberg Beach, Plettenberg Bay Western Cape Province SOUTH AFRICA",-34.0820162,23.3612287
167,"First Sun Beach, Byron Bay New South Wales AUSTRALIA",-28.6500106,153.578435
168,Makemo Atoll Tuamotos FRENCH POLYNESIA,-16.5838551,-143.6601667
169,"Off Singer Island, Palm Beach County Florida USA",26.7850618,-80.0462956
170,Poe Beach Grand Terre NEW CALEDONIA,-21.6098406,165.3732516
171,"Corners Beach, Jupiter, Palm Beach County Florida USA",26.8333495,-80.238452
172,"Olowalu, Maui Hawaii USA",20.8147215,-156.6337548
173,Bombo Beach New South Wales AUSTRALIA,-34.6584605,150.8509761
174,"Fort Myers Beach, Lee County Florida USA",26.4344352,-81.9599037
175,North Cronulla Beach New South Wales AUSTRALIA,-34.0497182,151.1549273
176,"Bolsa Chica State Park, Orange County California USA",33.6972793,-118.0683508
177,"Vero Beach, St. Lucie County Florida USA",27.6430241,-80.4393018
178,Wrights Bay South Australia AUSTRALIA,-37.0330962,139.7323563
179,Escalerio Beach Balneário Camboriú Santa Catarina State BRAZIL,-37.0330962,139.7323563
180,"Ricaudy Reef, Noumea South Province NEW CALEDONIA",-22.3125899,166.4497621
181,Yate South Province NEW CALEDONIA,-22.1083072,166.4729474
182,"Bavaro Beach, Punta Cana Altagracia Province DOMINICAN REPUBLIC",18.6670057,-68.4041324
183,Stingray City Bar Grand Cayman CAYMAN ISLANDS,19.3298237,-81.3925158
184,Nettley Bay Tasmania AUSTRALIA,-40.9299991,144.6112452
185,Stradbroke Island Queensland AUSTRALIA,-27.563166,153.3298074
186,Hams Beach New South Wales AUSTRALIA,-33.0977816,151.6556782
187,"Hanalei Bay, Kauai Hawaii USA",22.207262,-159.5158428
188,"Hanalei Bay, Kauai,  Hawaii USA",22.207262,-159.5158428
189,Off Surfside Texas USA,22.207262,-159.5158428
190,35 miles off Fujairah Fujairah Emirate UNITED ARAB EMIRATES,22.207262,-159.5158428
191,"Happy Valley Beach, Caloundra Queensland AUSTRALIA",-26.8072286,153.1315832
192,Heron Island Queensland AUSTRALIA,-23.4423244,151.9107569
193,Miall Island Queensland AUSTRALIA,-23.123799,150.8372401
194,Westbrook Beach KwaZulu-Natal SOUTH AFRICA,-29.5958522,31.1591567
195,"Arinaga Beach, Aguimes, Gran Canaria Grand Canary Island SPAIN",27.858225,-15.3969257
196,La'aloa Beach Park Hawaii USA,19.594373,-155.9740204
197,Bondi Beach New South Wales AUSTRALIA,-33.8909748,151.2639875
198,Fernano de Noronha Pernambuco BRAZIL,-3.8447969,-32.4619115
199,Lake Macquarie New South Wales AUSTRALIA,-33.0684731,151.4431429
200,Mpande Eastern Cape Province SOUTH AFRICA,-33.0684731,151.4431429
201,"Punta Vicente Roca, Isabella Island Galapagos Islands ECUADOR",-0.3830326,-91.5448685
202,"Playalinda Beach, Brevard County Florida USA",28.655517,-80.6405835
203,"Palm Beach, Palm Beach County Florida USA",26.6835908,-80.1097533
204,East Ballina New South Wales AUSTRALIA,-28.8586176,153.5718324
205,"Paradise Beach, Melbourne, Brevard County Florida USA",28.1229901,-80.579149
206,"Kehena Beach, Hawaii Hawaii USA",19.3946571,-154.9378426
207,"Cocoa Beach, Brevard  County Florida USA",19.3946571,-154.9378426
208,Maxixe Inhambane Province MOZAMBIQUE,19.3946571,-154.9378426
209,Bald Island Western Australia AUSTRALIA,19.3946571,-154.9378426
210,"Malaka, Oahu Hawaii USA",19.3946571,-154.9378426
211,Stil Bay Western Cape Province SOUTH AFRICA,19.3946571,-154.9378426
212,"Deerfield Beach, Broward County Florida USA",19.3946571,-154.9378426
213,"Nahaduga, Inhambane Bay Inhambane Province MOZAMBIQUE",19.3946571,-154.9378426
214,"Waikiki,  Hawaii USA",19.3946571,-154.9378426
215,"Lanikai Beach, Kailua, Oahu Hawaii USA",19.3946571,-154.9378426
216,"Off Leffingwell Landing, San Luis Obispo County California USA",19.3946571,-154.9378426
217,"Shipyard Beach Club, Hilton Head Island, Beaufort County South Carolina USA",19.3946571,-154.9378426
218,"Leftovers, Oahu Hawaii USA",19.3946571,-154.9378426
219,"Maxixe, Inhambane Bay Inhambane Province MOZAMBIQUE",19.3946571,-154.9378426
220,Pyramids Beach Western Australia AUSTRALIA,19.3946571,-154.9378426
221,"Pepper Park Beach, St. Lucie County Florida USA",19.3946571,-154.9378426
222,Galveston Texas USA,19.3946571,-154.9378426
223,"Vilano Beach, St.  Johns County Florida USA",19.3946571,-154.9378426
224,"Russel Island, Frankland Group Queensland AUSTRALIA",19.3946571,-154.9378426
225,"Horseshoe Rock, Santa Barbara County California USA",19.3946571,-154.9378426
226,"Upolu Point, North Kohala, Big Island Hawaii USA",19.3946571,-154.9378426
227,"Fernandina Beach, Amelia Island, Nassau County Florida USA",19.3946571,-154.9378426
228,"Big Talbot Island, Duval County Florida USA",28.3286305,-80.6596442
229,"Jacksonville Beach, Duval County Florida USA",30.2799688,-81.4090312
230,North Shelly Beach New South Wales AUSTRALIA,-33.3699235,151.4760154
231,"El Pescador Beach, Los Angeles County California USA",34.0392014,-118.8921556
232,"Deer Creek Beach, Ventura County California USA",34.0392014,-118.8921556
233,Hallidays Point New South Wales AUSTRALIA,34.0392014,-118.8921556
234,"Myrtle Beach, Horry County South Carolina USA",34.0392014,-118.8921556
235,Karon Beach Phuket THAILAND,34.0392014,-118.8921556
236,"Morro Strand State Beach, San Luis Obispo County California USA",34.0392014,-118.8921556
237,"Morro Bay, San Luis Obispo County California USA",34.0392014,-118.8921556
238,Lighthouse Beach New South Wales AUSTRALIA,34.0392014,-118.8921556
239,"Murrells Inlet, Georgetown County South Carolina USA",34.0392014,-118.8921556
240,Santa Barbara County California USA,34.0392014,-118.8921556
241,"Poniente Beach, Benidorm Alicante SPAIN",34.0392014,-118.8921556
242,Cortes Bank California USA,34.0392014,-118.8921556
243,Playa Grande Guanacaste COSTA RICA,34.0392014,-118.8921556
244,Tyrendarra Beach Victoria AUSTRALIA,34.0392014,-118.8921556
245,"Edisto Beach, Colleton County South Carolina USA",34.0392014,-118.8921556
246,"Lachan Island, Mercury Passage Tasmania AUSTRALIA",34.0392014,-118.8921556
247,"La Jolla, San Diego County California USA",34.0392014,-118.8921556
248,Tyrendarra Beach near Portland Victoria AUSTRALIA,34.0392014,-118.8921556
249,Jeffrey's Bay Eastern Cape Province SOUTH AFRICA,34.0392014,-118.8921556
250,"Huntington Beach, Orange County California USA",34.0392014,-118.8921556
251,"Port Lucaya, Freeport Grand Bahama Island BAHAMAS",34.0392014,-118.8921556
252,"Off Surf City, Pender County North Carolina USA",34.0392014,-118.8921556
253,Lennox Head New South Wales AUSTRALIA,34.0392014,-118.8921556
254,"Ocracoke, Lifeguard Beach, National Park Service, Hyde County North Carolina USA",34.0392014,-118.8921556
255,"Flat Rock, Yamba New South Wales AUSTRALIA",34.0392014,-118.8921556
256,"Isle of Palms County Park, Isle of Palms, Charleston County South Carolina USA",34.0392014,-118.8921556
257,"Rodanthe, Dare County North Carolina USA",34.0392014,-118.8921556
258,Buffels Bay near Knysna Western Cape Province SOUTH AFRICA,34.0392014,-118.8921556
259,"Lookout Beach, Plettenberg Bay Western Cape Province SOUTH AFRICA",34.0392014,-118.8921556
260,"South Beach, Hunting Island State Park, Beaufort County South Carolina USA",34.0392014,-118.8921556
261,Rottnest Island Western Australia AUSTRALIA,34.0392014,-118.8921556
262,"Avon, Hatteras Island, Outer Banks, Dare County North Carolina USA",34.0392014,-118.8921556
263,Surf City North Carolina USA,34.0392014,-118.8921556
264,Denmark Western Australia AUSTRALIA,34.0392014,-118.8921556
265,"St. Helena Island, Beaufort County South Carolina USA",34.0392014,-118.8921556
266,Daytona Beach Shores Florida USA,34.0392014,-118.8921556
267,"Oak Island, Brunswick County North Carolina USA",34.0392014,-118.8921556
268,Off San Diego California USA,34.0392014,-118.8921556
269,"Ocean Isle, Brunswick County North Carolina USA",34.0392014,-118.8921556
270,"Lori Wilson Park, Cocoa Beach, Brevard  County Florida USA",34.0392014,-118.8921556
271,Fort Lauderdale Florida USA,34.0392014,-118.8921556
272,Folette Le Port REUNION,34.0392014,-118.8921556
273,Avatoru Pass Rangiroa FRENCH POLYNESIA,34.0392014,-118.8921556
274,Saltwater Beach New South Wales AUSTRALIA,34.0392014,-118.8921556
275,Port St. John's Eastern Cape Province SOUTH AFRICA,34.0392014,-118.8921556
276,Kanahena Cove  Hawaii USA,34.0392014,-118.8921556
277,"Resident's Beach, Marco Island Florida USA",34.0392014,-118.8921556
278,Fishery Bay South Australia AUSTRALIA,34.0392014,-118.8921556
279,"Belongil Beach, Byron Bay New South Wales AUSTRALIA",34.0392014,-118.8921556
280,Cap Homard Saint-Gilles-les-Bains REUNION,34.0392014,-118.8921556
281,"3 miles off Jupiter, Palm Beach County Florida USA",34.0392014,-118.8921556
282,McKenzies Beach New South Wales AUSTRALIA,34.0392014,-118.8921556
283,"Praia del Chifre, Olinda Pernambuco BRAZIL",34.0392014,-118.8921556
284,Yellow Sands Point Eastern Cape Province SOUTH AFRICA,34.0392014,-118.8921556
285,Hapuna Beach Hawaii USA,34.0392014,-118.8921556
286,Anau Bora Bora FRENCH POLYNESIA,34.0392014,-118.8921556
287,"Julian Rocks, Byron Bay New South Wales AUSTRALIA",34.0392014,-118.8921556
288,Mazlatan Sinaloa MEXICO,34.0392014,-118.8921556
289,"Tupapati, Hikueru Atoll Central Tuamotu FRENCH POLYNESIA",34.0392014,-118.8921556
290,Ravine Mula d’Étang-Salé REUNION,34.0392014,-118.8921556
291,Shelly Beach New South Wales AUSTRALIA,-33.3699235,151.4760154
292,"Seven Mile Beach, Byron Bay New South Wales AUSTRALIA",-28.71036,153.6146432
293,Mereweather Beach New South Wales AUSTRALIA,-32.9473114,151.7571767
294,"Nerang River, Surfer's  Paradise Queensland AUSTRALIA",-27.9880901,153.4023369
295,Lahaina Hawaii USA,20.887858,-156.7093172
296,Flat Rock New South Wales AUSTRALIA,-31.3088745,150.1595624
297,Nahoon Beach Eastern Cape Province SOUTH AFRICA,-32.9860439,27.9389625
298,Off Panama City Florida USA,30.064319,-85.4654473
299,"Wategos Beach, Byon Bay New South Wales AUSTRALIA",-28.6358817,153.6318585
300,Off Blacksmith Beach New South Wales AUSTRALIA,-28.6358817,153.6318585
301,"Mollymook Beach, Bannister Head New South Wales AUSTRALIA",-35.3201228,150.4733786
302,"Tahiti Beach, Elbow Cay Abaco Islands BAHAMAS",26.5003569,-76.9867538
303,Chintsa East Beach Eastern Cape Province SOUTH AFRICA,-32.8289158,28.0969174
304,"Windsor Beach, Indian River County Florida USA",27.7886508,-80.4167556
305,Bherwerre Beach New South Wales AUSTRALIA,-35.1500772,150.6425586
306,Three Stripes near Cheynes Beach Western Australia AUSTRALIA,-34.88414,118.4024403
307,Durban KwaZulu-Natal SOUTH AFRICA,-29.8483609,30.9224218
308,"Montaña de Oro State Park, San Luis Obispo County  California USA",35.2723111,-120.8889701
309,Paradise Beach Victoria AUSTRALIA,-38.191931,147.3986346
310,Rudder Reef Queensland AUSTRALIA,-16.189154,145.6322749
311,Off Motril Granada SPAIN,-16.189154,145.6322749
312,"Pyramids Beach, Port Bouvard Western Australia AUSTRALIA",-32.6057389,115.6313116
313,Freo Western Australia AUSTRALIA,-32.0525619,115.7384503
314,"Franklin Point, San Mateo County California USA",37.1496681,-122.369284
315,"Indian Harbor Beach, Brevard County Florida USA",28.1553124,-80.6141345
316,"Airplane Beach, Lahina, West Maui Hawaii USA",20.9153168,-156.753207
317,Moonee Beach New South Wales AUSTRALIA,-30.1956084,153.1169904
318,"Fort Pierce Inlet State Park, St. Lucie County Florida USA",27.434832,-80.3901051
319,"North Kohala, Hawaii County Hawaii USA",20.2465687,-155.8835924
320,Wallabi Point New South Wales AUSTRALIA,-31.9904545,152.5458682
321,"Kihei, Maui Hawaii USA",20.7650743,-156.521333
322,"Kahului, Maui Hawaii USA",20.877901,-156.4914598
323,"Leadbetter Beach, Santa Barbara County California USA",34.4024155,-119.7013486
324,"Maalaea, South Maui Hawaii USA",20.8027683,-156.6181848
325,"Castle Rock, north of Dunsborough Western Australia AUSTRALIA",-33.5835177,115.0881915
326,"Cherie Down Park, Brevard County Florida USA",28.3918352,-80.599145
327,"Walls Beach, Vandenberg AFB, Santa Barbara County California USA",34.7069443,-120.6029065
328,"Kelpids Beach, Wylie Bay, Esperance Western Australia AUSTRALIA",-33.8320375,121.9899602
329,Tiahura Lagoon Moorea FRENCH POLYNESIA,-33.8320375,121.9899602
330,"Manresa State Beach, Santa Cruz County California USA",-33.8320375,121.9899602
331,"Clarkes Beach, Byron Bay New South Wales AUSTRALIA",-28.640058,153.6198808
332,"Katrina Cut, Dauphin Island, Mobile County Alabama USA",-28.640058,153.6198808
333,"Manomet Point, Plymouth, Plymouth County Massachusetts USA",41.9221287,-70.551021
334,"Fletcher Beach, Hutchinson Island, Martin County Florida USA",27.2054998,-80.17127
335,Salou Catalonia SPAIN,41.0781462,1.1061034
336,"Atlantic Beach, Duval County Florida USA",30.3421793,-81.4213701
337,Assateague National Seashore Maryland USA,38.0654024,-75.5428393
338,Benidorm Alicante SPAIN,38.5374023,-0.1650151
339,"Figure Eight Island,  New Hanover County North Carolina USA",34.2688881,-77.7780499
340,"Surfside Beach, Horry  County South Carolina USA",33.6098592,-78.9951996
341,Apalachicola Bay  Florida USA,29.6689403,-85.0539026
342,"Off Masonboro Island, New Hanover County North Carolina USA",29.6689403,-85.0539026
343,Gnaraloo Western Australia AUSTRALIA,-23.9730662,113.3512281
344,"3 to 4 miles west of Indian Pass, Gulf County Florida USA",-23.9730662,113.3512281
345,"Hallandale Beach, Broward County Florida USA",25.9854849,-80.1569546
346,"Lake Ponchartain off Southshore Harbor, New Orleans Louisiana USA",30.0380591,-90.0177646
347,"South of Cocoa Beach, Brevard County Florida USA",28.3286305,-80.6596442
348,"Table Beach, Brevard County Florida USA",28.2666061,-80.6078321
349,Muizenberg Western Cape Province SOUTH AFRICA,-34.0977452,18.4665573
350,"Sunset Beach, Brunswick County North Carolina USA",33.8864629,-78.5496121
351,"Indialantic, Brevard County Florida USA",28.0875432,-80.5774922
352,"Teresita, Santa Cruz, Tenerife Canary Islands SPAIN",28.2931087,-16.8028586
353,"Paia Bay, Maui Hawaii USA",20.9175351,-156.3858972
354,Okaloosa Island Florida USA,30.3912328,-86.606899
355,Tiger Beach West End BAHAMAS,30.3912328,-86.606899
356,"Masonboro Island, New Hanover County North Carolina USA",34.1345636,-77.9175196
357,"Manhattan Beach, Los Angeles County California USA",33.883779,-118.4622202
358,"Oceano Dunes State Beach, San Luis Obispo County California USA",35.0848895,-120.6588649
359,"Isle of Palms, Charleston County South Carolina USA",32.8009171,-79.7990842
360,"Middleton Point, Fleurieu Peninsula South Australia AUSTRALIA",-35.4999992,138.4912452
361,Horizontal Falls Western Australia AUSTRALIA,-16.3770659,123.9585033
362,"Cape Henlopen State Park, Sussex County Delaware USA",38.7856582,-75.103785
363,"Parsons Beach,  Fleurieu Peninsula South Australia AUSTRALIA",-35.6311654,138.4642758
364,Aichi Atsumi peninsula JAPAN,34.6445052,137.2255892
365,"West Beach, Galveston Texas USA",29.2000762,-94.943997
366,"Seven Mile Beach, Gerroa New South Wales AUSTRALIA",-34.8163547,150.7120399
367,Nerang River near Chevron Island Queensland AUSTRALIA,-27.9974283,153.4159745
368,Wallis Island Wallis and Futuna FRANCE,-13.2846738,-176.2765209
369,The Australian Shark and Ray Centre New South Wales AUSTRALIA,-32.7706273,151.9964183
370,"Juan Ponce de León Landing, Melbourne Beach, Brevard County Florida USA",28.010895,-80.5324865
371,"Elliston, Eyre Peninsula South Australia AUSTRALIA",-34.3333325,135.7412452
372,"Tybee Island, Chatham County Georgia USA",32.0066393,-80.8797456
